date/time,open,high,low,close,volume
2024-07-16,208.1800,208.2100,205.6800,206.6000,413951
2024-07-12,204.7200,208.8599,201.6700,207.5900,1104986
2024-07-05,204.8000,206.5500,203.2050,206.4500,929560
2024-06-28,197.5000,206.6100,197.2749,204.9700,1757539
2024-06-21,193.2000,195.6700,193.2000,193.5800,1320458
2024-06-14,207.5000,208.6100,195.4200,197.1300,1775878
2024-06-07,212.2900,213.5400,206.2000,206.3600,1697439
2024-05-31,219.0000,219.5300,213.2938,217.5100,986717
2024-05-24,220.3100,221.0888,214.3109,216.8400,882821
2024-05-17,217.1000,220.4200,215.3000,219.7600,1578246
2024-05-10,233.6200,235.6800,218.1400,218.7800,1721866
2024-05-03,228.0000,233.3500,226.5600,232.8700,1220489
2024-04-26,228.1800,233.9900,222.3850,226.7100,1645045
2024-04-19,245.7100,246.0700,227.3800,228.7200,1417398
2024-04-12,243.4000,248.4700,242.6300,242.9700,1045955
2024-04-05,242.8500,243.6655,237.9600,240.7400,1460952
2024-03-28,252.1100,254.7899,250.3301,251.6800,779530
2024-03-22,237.5800,255.2300,237.2820,254.7700,1287710
2024-03-15,237.4100,238.4399,230.3600,234.6200,1321673
2024-03-08,244.1900,253.4250,242.5800,242.8200,1666266
2024-03-01,237.5900,246.5400,236.5400,246.0400,1398481
2024-02-23,227.7800,235.7600,225.5800,235.0000,1469562
2024-02-16,223.8200,232.5600,223.5600,227.3600,1785427
2024-02-09,202.2900,226.4000,201.4070,224.4600,2527553
2024-02-02,199.6800,202.6400,199.0800,202.5400,1133386
2024-01-26,201.2400,202.0000,197.0710,198.0600,1301160
2024-01-19,195.2900,200.7000,193.0300,200.6700,1205451
2024-01-12,187.5000,196.4799,185.2900,195.6800,1642318
2024-01-05,182.1500,188.7100,180.0700,187.0700,1126033
2023-12-29,178.5300,183.8752,178.5300,183.3800,859870
2023-12-22,183.8700,185.0950,178.0000,178.5300,1593817
2023-12-15,186.8100,187.7100,180.5900,180.6200,1805412
2023-12-08,188.3400,192.9016,185.6000,187.2800,1609642
2023-12-01,186.1000,192.8100,185.8100,192.7400,1219727
2023-11-24,186.7700,188.5300,181.5100,188.3000,1499882
2023-11-17,185.5100,193.4300,185.1800,193.3600,1423823
2023-11-10,190.2300,190.5600,182.8150,187.0000,1305845
2023-11-03,172.2700,189.8688,170.4901,189.5900,2027095
2023-10-27,173.0500,176.8800,171.3700,172.8100,1103484
2023-10-20,178.1900,179.6800,173.2300,173.4800,1521339
2023-10-13,172.5000,182.9600,171.9700,177.6800,1143026
2023-10-06,179.3000,179.6000,166.9200,173.1800,2397484
2023-09-29,185.0000,185.2732,179.2592,179.7500,1699706
2023-09-22,188.6600,195.6500,185.8461,187.1000,1883040
